단계,영역,세부 영역,항목,중요도,담당팀,기한,완료 기준,체크 시점,리스크,의존성,메모
준비,의사결정,알파 목적,알파 목적과 성공 정의 확정,Blocker,Alpha Test PO,2026-04-23,"감정적 연결, 자발적 복귀, 운영 가능성, KPI 측정 범위가 1페이지로 승인됨",4/23 킥오프,목적이 흐리면 전체 일정이 흔들림,,
준비,의사결정,기본 일정,5월 1일 채널 오픈 / 캠페인 시작 기준 일정 확정,Blocker,Alpha Test PO,2026-04-23,"4/28 퍼널 검증, 5/1 채널/캠페인 오픈, 5/8 vs 5/15 모집 마감 게이트, 5/22 권장 런칭 일정 확정",4/23 킥오프,런칭 게이트가 모호하면 No-Go,,
준비,제품,LP 구성,핵심 LP 3개 확정,Blocker,AI Engine Team,2026-04-28,"LP 3개의 이름, 역할, 감정 포지션, 우선순위 확정",4/28 준비 체크업,LP 구성이 흔들리면 제품 메시지와 콘텐츠 로드맵이 모두 흔들림,,
준비,제품,LP 구성,LP별 감정 훅과 차별 포인트 정의,Critical,AI Engine Team,2026-04-28,"각 LP의 판타지, 갈등, 복귀 이유 문서화",4/28 준비 체크업,없으면 검증력이 약해짐,핵심 LP 3개 확정,
준비,콘텐츠,스토리 구조,스토리 15개 목록과 구조 확정,Blocker,AI Engine Team,2026-04-28,"15개 스토리의 LP 연결, 유형, 우선순위 확정",4/28 준비 체크업,복귀 콘텐츠 계획이 없으면 No-Go,핵심 LP 3개 확정,
준비,콘텐츠,스토리라인,1차 스토리라인 5개 완성,Blocker,AI Engine Team,2026-04-30,첫 5개 스토리가 커뮤니티 티징과 실제 플레이에 모두 사용 가능,5/01 채널/캠페인 오픈 직전,커뮤니티 예고가 실체 없는 상태가 됨,"핵심 LP 3개 확정, 스토리 15개 목록과 구조 확정",
준비,콘텐츠,스토리라인,2차 스토리라인 5개 추가 완성,Blocker,AI Engine Team,2026-05-07,누적 10개 이상의 스토리가 QA 통과 후 플레이 가능,W1 리뷰,복귀 루프가 얕아짐,1차 스토리라인 5개 완성,
준비,콘텐츠,스토리라인,3차 스토리라인 5개 추가 완성,Critical,AI Engine Team,2026-05-14,누적 15개 스토리의 알파 버전이 준비됨,런칭 직전 Go/No-Go,런칭 볼륨이 약해지면 Conditional Go,2차 스토리라인 5개 추가 완성,
준비,콘텐츠,몰입 자산,LP 3개 세계관 요약본 준비,Blocker,AI Engine Team,2026-04-28,"LP 1, 2, 3 각각 1페이지 세계관 요약 존재",4/28 준비 체크업,커뮤니티 스토리라인 재료 부족,핵심 LP 3개 확정,
준비,콘텐츠,몰입 자산,LP 3개 채팅용 이미지 최소 세트 준비,Blocker,AI Engine Team,2026-05-01,각 LP별 티징 가능한 이미지 팩 준비,5/01 채널/캠페인 오픈,몰입감 약화,"핵심 LP 3개 확정, LP 3개 세계관 요약본 준비",
준비,콘텐츠,몰입 자산,LP 3개 보이스 샘플 최소 세트 준비,Critical,AI Engine Team,2026-05-07,각 LP별 인트로 및 핵심 감정 비트 샘플 확보,W1 리뷰,감정 연결 약화,"핵심 LP 3개 확정, LP별 감정 훅과 차별 포인트 정의",
준비,콘텐츠,커뮤니티 재료,일자별 커뮤니티 공개용 스포일러 안전 문구 준비,Critical,AI Engine Team,2026-04-29,"매일 게시 가능한 대사, 설정 조각, 스토리 훅 승인 완료",5/01 채널/캠페인 오픈,콘텐츠 캘린더 실행력 저하,"핵심 LP 3개 확정, 스토리 15개 목록과 구조 확정, LP 3개 세계관 요약본 준비",
준비,마케팅,메시지,알파 핵심 캠페인 메시지 확정,Blocker,Growth Marketing Team,2026-04-25,KR/JP/US 타깃용 기본 메시지 세트 확정,4/25 준비 체크업,획득 메시지가 흔들리면 No-Go,"알파 목적과 성공 정의 확정, 핵심 LP 3개 확정",
준비,마케팅,자산,바이럴 가능 자산 3종 제작,Critical,Growth Marketing Team,2026-04-30,"캐릭터 티저, 스토리 티저, 홍보 스토리라인 자산 준비",5/01 채널/캠페인 오픈,모집 효율 저하,"알파 핵심 캠페인 메시지 확정, 핵심 LP 3개 확정, 1차 스토리라인 5개 완성, LP 3개 채팅용 이미지 최소 세트 준비",
준비,마케팅,랜딩 퍼널,랜딩 및 사전등록 E2E 검증,Blocker,LUCIVE Product Team,2026-04-28,"모바일/데스크톱에서 랜딩, 등록, 리다이렉트, 기본 로깅 확인",4/28 준비 체크업,모집 퍼널이 깨지면 No-Go,"배포/롤백/수정 오너 프로세스 정의, 전체 링크 QA 시트 준비",
준비,마케팅,스크리닝 퍼널,설문 응답 저장과 스크리닝 동선 검증,Blocker,Alpha Test PO,2026-04-28,응답이 선발용 필드와 함께 안정적으로 저장됨,4/28 준비 체크업,스크리닝 데이터 불안정,"알파 마스터 로스터 생성, 로스터 필드와 상태값 체계 정의",
준비,마케팅,유료 집행,X / Meta / Google SA 세팅 완료,Blocker,Growth Marketing Team,2026-04-30,"채널, 크리에이티브, 카피, UTM, 예산표 준비",5/01 채널/캠페인 오픈,유료 집행 지연,"알파 핵심 캠페인 메시지 확정, 바이럴 가능 자산 3종 제작, 랜딩 및 사전등록 E2E 검증",
준비,마케팅,유료 집행,유료 마케팅 시작,Blocker,Growth Marketing Team,2026-05-01,캠페인 활성화 및 기본 트래킹 검증,5/01 채널/캠페인 오픈,모집 시작 지연,"X / Meta / Google SA 세팅 완료, KR 카카오 오픈채팅 오픈, JP LINE 채널 오픈, US Discord 서버 오픈",
준비,커뮤니티,공식 채널,KR 카카오 오픈채팅 오픈,Blocker,Growth Marketing Team,2026-04-29,"소개글, 규칙, 피드백 경로, 고정 공지 포함해 오픈",5/01 채널/캠페인 오픈,KR 유입이 머물 곳 없음,"커뮤니티 운영 가이드 공개, 5/1~5/7 커뮤니티 콘텐츠 로드맵 발행",
준비,커뮤니티,공식 채널,JP LINE 채널 오픈,Blocker,Growth Marketing Team,2026-04-30,"입장 링크, 웰컴 메시지, 규칙 검증",5/01 채널/캠페인 오픈,JP 유입이 머물 곳 없음,"커뮤니티 운영 가이드 공개, 5/1~5/7 커뮤니티 콘텐츠 로드맵 발행",
준비,커뮤니티,공식 채널,US Discord 서버 오픈,Blocker,Growth Marketing Team,2026-04-30,"채널 구조, 소개, 권한, FAQ, 피드백 경로 준비",5/01 채널/캠페인 오픈,US 유입이 머물 곳 없음,"커뮤니티 운영 가이드 공개, 5/1~5/7 커뮤니티 콘텐츠 로드맵 발행",
준비,커뮤니티,운영 가이드,커뮤니티 운영 가이드 공개,Blocker,Growth Marketing Team,2026-04-28,"톤, 응답 규칙, escalation, 스포일러 정책, 업데이트 주기 문서화",4/28 준비 체크업,운영 규칙 없이 채널 오픈,알파 목적과 성공 정의 확정,
준비,커뮤니티,콘텐츠 로드맵,5/1~5/7 커뮤니티 콘텐츠 로드맵 발행,Blocker,Growth Marketing Team,2026-04-29,"LP 공개, 스토리 티저, 개발 소식, 모집 리마인드 일자별 캘린더 완성",5/01 채널/캠페인 오픈,채널이 비어 있음,"핵심 LP 3개 확정, 일자별 커뮤니티 공개용 스포일러 안전 문구 준비, 알파 핵심 캠페인 메시지 확정",
준비,운영 인프라,페이지 운영,배포/롤백/수정 오너 프로세스 정의,Blocker,LUCIVE Product Team,2026-04-24,"배포 담당, 롤백 기준, 긴급 수정 경로 문서화",4/25 준비 체크업,랜딩을 안전하게 운영 못 함,,
준비,운영 인프라,링크 QA,전체 링크 QA 시트 준비,Blocker,LUCIVE Product Team,2026-04-28,"CTA, 이메일, 설문, 채널 링크를 한 시트에서 검증 가능",4/28 준비 체크업,유저 경로 링크 불안정,"랜딩 및 사전등록 E2E 검증, 설문 응답 저장과 스크리닝 동선 검증, KR 카카오 오픈채팅 오픈, JP LINE 채널 오픈, US Discord 서버 오픈",
준비,운영 인프라,Integration,공식사이트 Integration 최종 체크,Blocker,LUCIVE Product Team,2026-04-30,"공식사이트에서 랜딩, 사전등록, 설문, 채널 링크가 실제 운영 환경 기준으로 최종 연결 확인",5/01 채널/캠페인 오픈 직전,오픈 직후 전환 누락,"랜딩 및 사전등록 E2E 검증, 설문 응답 저장과 스크리닝 동선 검증, KR 카카오 오픈채팅 오픈, JP LINE 채널 오픈, US Discord 서버 오픈",
준비,DB / 운영,원장,알파 마스터 로스터 생성,Blocker,Alpha Test PO,2026-04-29,"모집 상태, 시장, 유입, 대기, 커뮤니티 입장이 단일 원장에서 추적됨",5/01 채널/캠페인 오픈,대상 상태 추적 불가,"알파 목적과 성공 정의 확정, 5월 1일 채널 오픈 / 캠페인 시작 기준 일정 확정",
준비,DB / 운영,필드 설계,로스터 필드와 상태값 체계 정의,Blocker,Alpha Test PO,2026-04-29,"이메일, 시장, 유입, 설문, 선발, 커뮤니티, FGI, CS 필드 잠금",5/01 채널/캠페인 오픈,운영 상태 모호,알파 마스터 로스터 생성,
준비,본 프로덕트 운영,버그 접수,"버그 리포트 채널, 태그, 심각도 기준 표준화",Blocker,LUCIVE Product Team,2026-05-10,단일 버그 접수 경로와 상태/심각도 태그 체계 완성,런칭 직전 운영 체크,피드백이 채팅 속에 묻힘,"커뮤니티 운영 가이드 공개, 알파 마스터 로스터 생성",
준비,본 프로덕트 운영,유저 응대,버그/이슈/핫픽스 회신 템플릿 준비,Critical,LUCIVE Product Team,2026-05-11,"접수, 확인중, 수정완료, 알려진 이슈 템플릿 준비",런칭 직전 운영 체크,신뢰 리스크 증가,"버그 리포트 채널, 태그, 심각도 기준 표준화",
준비,리서치 / FGI,후속 설문,FGI / UT 후속 설문 준비,Critical,Alpha Test PO,2026-05-08,"복귀 이유, 몰입, 마찰, LP 선호 질문 포함",W1 리뷰 전,정성 학습 약화,"스토리 15개 목록과 구조 확정, KPI 이벤트와 산식 정의",
준비,리서치 / FGI,대상 관리,FGI 후보 상태값과 선별 규칙 추가,Critical,Alpha Test PO,2026-05-08,"잔존, 이탈, 추천 유입, FGI 후보가 로스터에서 구분됨",W1 리뷰 전,인터뷰 모집 어려움,"알파 마스터 로스터 생성, 로스터 필드와 상태값 체계 정의",
준비,측정,KPI 정의,KPI 이벤트와 산식 정의,Blocker,Alpha Test PO,2026-04-29,"D7, D30, 같은 LP 재방문, 온보딩 완료, 세션 길이, 추천 관련 KPI 정의",5/01 채널/캠페인 오픈,무엇도 증명 못 하면 No-Go,"알파 목적과 성공 정의 확정, 핵심 LP 3개 확정",
준비,측정,계측,이벤트 로깅 구현 및 QA,Blocker,LUCIVE Product Team,2026-05-05,테스트 환경에서 이벤트가 정확히 발화,W1 리뷰,KPI 수집 불안정,"KPI 이벤트와 산식 정의, 랜딩 및 사전등록 E2E 검증",
준비,측정,리포팅,KPI 트래커와 일일 리포트 시트 구축,Critical,Alpha Test PO,2026-05-08,매일 볼 수 있는 KPI 시트와 공유 루틴 준비,W1 리뷰,일일 통제력 약화,"KPI 이벤트와 산식 정의, 이벤트 로깅 구현 및 QA",
준비,마케팅,모집 게이트,모집 마감일 5/8 vs 5/15 결정,Blocker,Alpha Test PO + Growth Marketing Team,2026-05-06,"퍼널 품질, 모집 속도, 스크리닝 통과율 기준으로 마감일 최종 확정",5/06 운영 체크업,모집 전략과 선발 일정 혼선,"유료 마케팅 시작, KPI 트래커와 일일 리포트 시트 구축",
준비,런칭 운영,첫 72시간,첫 72시간 운영 커버리지와 모니터링 역할 지정,Blocker,LUCIVE Product Team,2026-05-12,"런칭일, 버그 triage, 공지, escalation 담당자 명시",런칭 직전 Go/No-Go,첫 주말 오너 없음,"버그 리포트 채널, 태그, 심각도 기준 표준화, 버그/이슈/핫픽스 회신 템플릿 준비, KPI 트래커와 일일 리포트 시트 구축",
준비,런칭 운영,리허설,전체 런칭 리허설 실행,Blocker,LUCIVE Product Team,2026-05-14,"초대, 입장, 플레이, 피드백, 이슈 공지, KPI 체크까지 드라이런 완료",5/14 Go/No-Go,드라이런에서 큰 결함 발견,"랜딩 및 사전등록 E2E 검증, 설문 응답 저장과 스크리닝 동선 검증, 첫 72시간 운영 커버리지와 모니터링 역할 지정, 1차 스토리라인 5개 완성",
준비,런칭 운영,게이트 판단,Go / No-Go 신호등 판단 공표,Blocker,Alpha Test PO,2026-05-14,Blocker/Critical 상태 기반 최종 판단 공표,5/14 Go/No-Go,공식 런칭 게이트,"전체 런칭 리허설 실행, 2차 스토리라인 5개 추가 완성, KPI 트래커와 일일 리포트 시트 구축",
운영,알파 주간 운영,Week 1,운영 정책 확정,Blocker,Alpha Test PO,2026-05-20,"일일 체크인, 커뮤니티 공지, 버그 응대 SLA, 핫픽스 기준, 피드백 라우팅 정책 확정",런칭 직후 D+1,첫 주 운영 원칙 부재,"Go / No-Go 신호등 판단 공표, 첫 72시간 운영 커버리지와 모니터링 역할 지정",
운영,알파 주간 운영,Week 1,일일 체크업 운영,Blocker,Alpha Test PO,2026-05-23,"D+1부터 D+7까지 KPI, 커뮤니티, 버그 현황 일일 점검",W1 일일 체크,이탈과 장애를 초기에 못 잡음,"운영 정책 확정, KPI 트래커와 일일 리포트 시트 구축",
운영,알파 주간 운영,Week 1,중간 점검 회의,Blocker,Alpha Test PO,2026-05-27,런칭 후 첫 5일 데이터와 이슈를 기준으로 범위/우선순위 재정렬,W1 중간 리뷰,문제 우선순위 미정,일일 체크업 운영,
운영,리서치 / FGI,Week 1,1차 FGI 대상 확정,Critical,Alpha Test PO,2026-05-27,"잔존 유저, 이탈 유저, 추천 유입 유저를 포함한 1차 FGI 대상군 확정",W1 중간 리뷰,정성 표본 편향,"FGI 후보 상태값과 선별 규칙 추가, 일일 체크업 운영",
운영,리서치 / FGI,Week 1,1차 FGI 진행,Critical,Alpha Test PO,2026-05-29,최소 3명 이상 인터뷰/FGI 진행 및 기록 완료,W1 종료 리뷰,초기 정성 증거 부족,"1차 FGI 대상 확정, FGI / UT 후속 설문 준비",
운영,커뮤니티,Week 2,콘텐츠 정책 확정,Critical,Growth Marketing Team,2026-05-28,"Week 2용 개발 로그, 반영 포인트, 알려진 이슈, 티저 콘텐츠 계획 확정",W2 시작,커뮤니티 동력 저하,"5/1~5/7 커뮤니티 콘텐츠 로드맵 발행, 1차 FGI 진행",
운영,본 프로덕트 운영,Week 2,알려진 이슈 보드 운영 시작,Critical,LUCIVE Product Team,2026-05-28,"알려진 이슈, 수정중, 수정완료 상태를 외부 공지 가능한 포맷으로 운영",W2 시작,버그 신뢰도 하락,"버그 리포트 채널, 태그, 심각도 기준 표준화, 버그/이슈/핫픽스 회신 템플릿 준비",
운영,알파 주간 운영,Week 2,중간 KPI 체크업,Blocker,Alpha Test PO,2026-06-03,"D7, 온보딩, 세션 길이, 같은 LP 재방문 초기 추세 리뷰",W2 중간 리뷰,핵심 검증 상태를 제때 못 판단함,"일일 체크업 운영, 이벤트 로깅 구현 및 QA",
운영,리서치 / FGI,Week 2,2차 FGI 대상 확정,Critical,Alpha Test PO,2026-06-03,잔존/이탈/커뮤니티 활동도 기준으로 2차 FGI 대상군 업데이트,W2 중간 리뷰,FGI 표본 관리 실패,"1차 FGI 진행, 중간 KPI 체크업",
운영,리서치 / FGI,Week 2,2차 FGI 진행,Critical,Alpha Test PO,2026-06-05,최소 3명 이상 2차 FGI 완료 및 주요 인용문 정리,W2 종료 리뷰,후반 증거 부족,2차 FGI 대상 확정,
운영,커뮤니티,Week 3,커뮤니티 운영 정책 업데이트,Critical,Growth Marketing Team,2026-06-04,"반영된 개선점, 향후 계획, 커뮤니티 기대치 관리 정책 재정리",W3 시작,기대치 불일치,"콘텐츠 정책 확정, 1차 FGI 진행",
운영,본 프로덕트 운영,Week 3,버그 / 피드백 triage 재정렬,Critical,LUCIVE Product Team,2026-06-04,"누적 버그와 피드백을 제품, 콘텐츠, 운영으로 분류 재정렬",W3 시작,핫픽스 우선순위 혼선,"알려진 이슈 보드 운영 시작, 중간 KPI 체크업",
운영,알파 주간 운영,Week 3,중간 점검,Blocker,Alpha Test PO,2026-06-10,"리텐션과 커뮤니티 분위기, FGI 인사이트를 종합한 중간 리포트 작성",W3 중간 리뷰,중간 의사결정 지연,"중간 KPI 체크업, 2차 FGI 진행, 버그 / 피드백 triage 재정렬",
운영,커뮤니티,Week 4,커뮤니티 마감 커뮤니케이션 준비,Critical,Growth Marketing Team,2026-06-11,"알파 종료 리마인드, 감사 메시지, 후속 업데이트 예고 준비",W4 시작,종료 커뮤니케이션 혼선,"커뮤니티 운영 정책 업데이트, 중간 점검",
운영,리서치 / FGI,Week 4,최종 FGI / UT 보강 인터뷰,Medium,Alpha Test PO,2026-06-12,보강이 필요한 세그먼트 대상 추가 인터뷰 완료,W4 시작,일부 세그먼트 인사이트 부족,중간 점검,
운영,알파 주간 운영,Week 4,최종 체크업,Blocker,Alpha Test PO,2026-06-17,"4주 누적 KPI, 커뮤니티 운영, 버그 추세, FGI 인사이트 종합",W4 최종 리뷰,알파 결론 정리 실패,"중간 점검, 최종 FGI / UT 보강 인터뷰",
운영,알파 종료,마감 커뮤니케이션,알파 종료 공지 및 후속 공지 발송,Blocker,Growth Marketing Team,2026-06-19,"커뮤니티, 이메일, 내부 로스터 기준 종료/감사/후속 안내 완료",알파 종료일,종료 메시지 혼선,"커뮤니티 마감 커뮤니케이션 준비, 최종 체크업",
운영,알파 종료,최종 보고,최종 알파 결과 리포트 작성,Blocker,Alpha Test PO,2026-06-22,"검증 포인트별 KPI 결과, FGI 요약, 운영 회고, 다음 액션 정리",종료 후 D+3,알파가 기록으로 남지 않음,"최종 체크업, 알파 종료 공지 및 후속 공지 발송",
